log_timestamp_utc,event_type,frame_seq_recv,rssi_dbm,notes,packet_type_recv_hex,data_len_byte_value,payload_len_on_wire,ack_seq_sent,ack_type_sent_hex,is_decoded_ts_valid,calculated_latency_ms,decoded_ts,decoded_accel_ax,decoded_accel_ay,decoded_accel_az,decoded_gyro_gx,decoded_gyro_gy,decoded_gyro_gz,decoded_angle_roll,decoded_angle_pitch,decoded_angle_yaw,decoded_gps_lat,decoded_gps_lon,decoded_gps_altitude
2025-06-23T04:45:47.868+00:00Z,SERIAL_PORT_OPEN,,,,,,,,,,,,,,,,,,,,,,,
2025-06-23T04:45:54.872+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-23T04:46:01.880+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-23T04:46:05.321+00:00Z,HANDSHAKE_SYN_RECV,,,,,,,,,,,,,,,,,,,,,,,
2025-06-23T04:46:05.332+00:00Z,HANDSHAKE_ACK_SENT,,,,,,,0,0x00,,,,,,,,,,,,,,,
2025-06-23T04:46:05.333+00:00Z,HANDSHAKE_SUCCESS,,,,,,,,,,,,,,,,,,,,,,,
2025-06-23T04:46:11.386+00:00Z,DATA_FRAME_INCOMPLETE,,,,,13,,,,,,,,,,,,,,,,,,
2025-06-23T04:46:16.000+00:00Z,KEYBOARD_INTERRUPT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-23T04:46:16.001+00:00Z,PDR_CALCULATED,,,0.00% (0/200),,,,,,,,,,,,,,,,,,,,
2025-06-23T04:46:16.002+00:00Z,SERIAL_PORT_CLOSED,,,,,,,,,,,,,,,,,,,,,,,
2025-06-23T04:46:17.795+00:00Z,SERIAL_PORT_OPEN,,,,,,,,,,,,,,,,,,,,,,,
2025-06-23T04:46:24.804+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-23T04:46:26.136+00:00Z,HANDSHAKE_SYN_RECV,,,,,,,,,,,,,,,,,,,,,,,
2025-06-23T04:46:26.148+00:00Z,HANDSHAKE_ACK_SENT,,,,,,,0,0x00,,,,,,,,,,,,,,,
2025-06-23T04:46:26.149+00:00Z,HANDSHAKE_SUCCESS,,,,,,,,,,,,,,,,,,,,,,,
2025-06-23T04:54:13.448+00:00Z,KEYBOARD_INTERRUPT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-23T04:54:13.449+00:00Z,PDR_CALCULATED,,,0.00% (0/200),,,,,,,,,,,,,,,,,,,,
2025-06-23T04:54:13.451+00:00Z,SERIAL_PORT_CLOSED,,,,,,,,,,,,,,,,,,,,,,,
2025-06-23T04:54:14.997+00:00Z,SERIAL_PORT_OPEN,,,,,,,,,,,,,,,,,,,,,,,
